COMMAND,SQL,QUERY,XML,WHOLE
GetMyOpenRecsByGrp,36.515,11587.773,14.097,11683.072
GetAllSOFsByProduct,16.09,11883.131,7.238,11910.058
GetAllIssuesByProduct,155.624,1945.305,8.413,2356.324
GetAllSOFsByProduct,29.774,12615.384,67.221,12718.212
GetAllIssuesByProduct,22.971,2241.828,5.912,2273.366
GetRecsIOwn,25.649,8704.926,3.867,8739.811
GetAllSOFsByProduct,112.138,13215.955,6.948,13347.774
GetAllSOFsByProduct,120.886,12200.961,19.29,12477.938
GetAllSOFsByProduct,28.985,13228.972,15.689,13569.859
GetAllSOFsByProduct,5.216,13217.908,3.008,13228.08
GetAllSOFsByProduct,5.017,11757.45,21.827,11786.511
GetAllSOFsByProduct,4.468,10884.19,38.036,10928.58
GetAllSOFsByProduct,4.543,9673.738,1.357,9681.473
GetAllSOFsByProduct,4.808,13299.626,1.837,13308.702
GetAllSOFsByProduct,3.521,10508.17,2.205,10516.283
GetAllSOFsByProduct,4.365,11993.271,1.913,12001.503
GetAllSOFsByProduct,3.826,11241.241,2.834,11250.289
GetAllSOFsByProduct,4.885,11779.496,1.944,11788.938
GetAllSOFsByProduct,32.862,13121.45,3.368,13159.743
GetAllGPSOFsByProduct,6.111,6978.901,1.163,7010.852
GetAllSOFsByProduct,4.448,11892.652,1.907,11900.886
GetMyOpenRecsByGrp,29.422,13035.388,4.118,13072.711
GetMyOpenRecsByGrp,57.803,10282.838,6.436,10502.095
GetMyOpenRecsByGrp,112.066,10372.691,8.273,10601.042
GetMyOpenRecsByGrp,20.741,10306.145,7.017,10340.422
GetMyOpenRecsByGrp,112.004,10447.595,8.782,10582.557
GetMyOpenRecsByGrp,22.793,10091.656,9.114,10130.684
GetMyOpenRecsByGrp,102.262,7987.769,37.567,8227.672
GetMyOpenRecsByGrp,23.686,10289.051,5.941,10320.432
GetAllSOFsByProduct,26.418,13499.804,9.707,14148.646
GetAllSOFsByProduct,7.269,12835.559,44.115,12890.629
GetAllSOFsByProduct,7.053,13876.961,4.417,13892.478
GetAllGPSOFsByProduct,9.68,7541.953,3.138,7563.388
GetAllSOFsByProduct,6.898,47406.185,4.296,47420.667
GetAllSOFsByProduct,35.621,14042.504,6.984,14088.924
GetAllSOFsByProduct,27.372,13858.417,6.972,14035.478
GetMyOpenRecsByGrp,33.469,12365.307,9.793,12426.152
GetMyOpenRecsByGrp,34.695,10859.036,4.828,10900.537
GetAllCAPAsByCustomer,21.883,9271.802,24.959,9334.71
GetAllSOFsByProduct,19.576,15263.199,3.401,15296.46
GetAllCAPAsByCustomer,20.676,7498.697,0.55,7527.665
GetAllCAPAsByCustomer,16.393,7888.708,0.584,7923.663
GetAllIssuesByProduct,70.544,891.069,0.756,972.752
GetAllIssuesByProduct,20.876,70.511,0.877,93.746
GetAllIssuesByProduct,19.604,177.235,0.661,200.609
GetMyOpenRecsByGrp,20.127,11237.569,10.006,11269.188
GetMyOpenRecsByGrp,21.996,9689.152,9.729,9723.057
GetAllGPSOFsByProduct,26.053,6042.904,1.727,6080.985
GetAllGPSOFsByProduct,16.833,5739.893,1.46,5759.417
GetAllTPsByProduct,3.569,1590.406,0.632,1612.072
GetAllTPsByProduct,2.52,1295.512,1.043,1300.196
GetAllSOFsByProdAndSrc,15.026,11602.054,6.04,11659.995
GetAllRMAsByCustomer,2.805,12573.687,6.785,12595.451
GetAllRMAsByCustomer,3.213,11696.049,1.602,11702.52
GetFAMeetingSOF,17.15,2518.099,38.956,2627.76
GetAllGPSOFsByProduct,19.587,4691.491,0.622,4713.144
GetAllGPSOFsByProduct,17.205,7262.684,0.752,7282.644
GetAllGPSOFsByProduct,16.154,6687.966,1.463,6707.088
GetRecsIOwn,16.496,8647.409,1.942,8685.748
GetRecsIOwn,18.466,7230.528,1.937,7252.411
GetAllSOFsByProduct,46.861,298.952,0.72,348.322
GetAllSOFsByProduct,16.479,13731.058,4.905,13754.199
GetAllSOFsByProduct,22.366,13217.728,5.054,13247.024
GetAllSOFsByProduct,3.917,2829.868,0.541,2836.134
GetAllSOFsByProdAndSrc,19.925,11090.407,3.688,11121.862
GetAllSOFsByProdAndSrc,21.32,12155.546,8.783,12187.781
GetAllGPSOFsByProduct,24.02,9483.719,1.006,9510.815
GetAllGPSOFsByProduct,16.928,8536.895,0.618,8556.655
GetAllGPSOFsByProduct,17.675,7342.023,1.569,7440.915
GetMyOpenRecsByGrp,16.829,10604.5,2.259,10625.744
GetMyOpenRecsByGrp,18.7,10979.653,4.344,11004.062
GetAllGPSOFsByProduct,17.411,6929.443,1.49,6950.058
GetAllGPSOFsByProduct,18.069,6763.91,1.834,6784.836
GetAllTPsByProduct,3.181,1917.885,1.184,1923.757
GetAllTPsByProduct,2.897,1703.232,0.427,1707.461
GetAllSOFsByProdAndSrc,16.283,12881.664,6.331,12906.184
GetAllGPSOFsByProduct,20.076,7187.977,0.661,7210.134
GetAllGPSOFsByProduct,16.784,6703.002,0.883,6722.701
GetAllRMAsByCustomer,4.068,13098.949,4.636,13109.217
GetAllRMAsByCustomer,3.574,11665.22,1.628,11671.606
GetFAMeetingSOF,17.131,2935.151,39.349,3014.633
GetAllGPSOFsByProduct,19.431,5204.223,0.793,5226.456
GetAllGPSOFsByProduct,16.373,7482.357,0.646,7500.616
GetAllGPSOFsByProduct,16.003,6788.263,1.63,6808.212
GetAllGPSOFsByProduct,16.308,4180.371,0.571,4198.681
GetAllGPSOFsByProduct,15.27,3615.903,1.216,3633.79
GetAllGPSOFsByProduct,14.739,8194.239,0.657,8211.05
GetAllSOFsByProduct,18.344,12471.007,2.349,12493.247
GetAllSOFsByProduct,15.604,10489.22,5.758,10512.002
GetMyOpenRecs,21.963,14772.621,43.515,14858.269
GetAllGPSOFsByProduct,18.927,7623.956,0.623,7645.455
GetAllGPSOFsByProduct,15.323,6462.713,0.883,6480.162
GetAllSOFsByProduct,77.453,14053.886,7.792,14140.774
GetAllSOFsByProdAndSrc,43.151,12618.644,8.828,12707.955
GetMyOpenRecs,68.055,18639.697,31.267,18740.404
GetMyOpenRecs,49.805,9739.226,44.004,9834.403
GetMyOpenRecs,19.758,7894.486,64.152,7979.616
GetMyOpenRecsByGrp,22.062,11269.377,18.171,11311.247
GetMyOpenRecs,18.258,9775.057,19.821,9814.502
GetMyOpenRecs,16.349,8631.486,30.583,8679.83
GetMyOpenRecsByGrp,43.685,11183.528,0.44,11228.974
GetMyOpenRecs,17.512,10715.265,29.72,10764.844
GetMyOpenRecs,16.407,7999.543,28.007,8063.491
GetMyOpenRecsByGrp,20.263,11309.676,0.49,11332.162
GetMyOpenRecsByGrp,16.714,10515.583,2.112,10537.359
GetMyOpenRecsByGrp,20.985,8654.036,1.04,8677.594
GetMyOpenRecsByGrp,19.909,7403.494,0.512,7425.311
GetMyOpenRecsByGrp,17.991,9309.017,0.415,9329.129
GetMyOpenRecsByGrp,19.04,8535.296,1.878,8557.764
GetMyOpenRecsByGrp,19.844,9191.457,0.431,9213.206
GetAllGPSOFsByProduct,22.392,8422.964,0.639,8448.146
GetAllGPSOFsByProduct,14.357,8047.072,0.875,8064.139
GetAllGPSOFsByProduct,27.832,9051.544,1.518,9081.909
GetAllGPSOFsByProduct,18.829,6786.402,1.689,6808.34
GetAllGPSOFsByProduct,18.996,9585.586,0.699,9606.797
GetAllGPSOFsByProduct,18.465,7432.9,0.939,7453.747
GetAllGPSOFsByProduct,20.134,8446.572,0.655,8469.166
GetAllGPSOFsByProduct,17.121,7121.569,0.917,7141.142
GetAllGPSOFsByProduct,19.013,7444.148,0.642,7465.962
GetAllGPSOFsByProduct,19.513,7114.718,1.536,7137.83
GetAllGPSOFsByProduct,16.689,7551.704,0.609,7571.022
GetAllGPSOFsByProduct,17.803,6757.676,0.858,6777.788
GetAllGPSOFsByProduct,18.759,7924.416,0.651,7945.602
GetAllGPSOFsByProduct,17.325,8617.785,1.084,8637.678
GetAllGPSOFsByProduct,20.475,6977.197,1.838,7000.809
GetAllGPSOFsByProduct,17.631,7317.553,0.603,7337.277
GetAllGPSOFsByProduct,17.389,7972.524,0.855,7992.988
GetAllGPSOFsByProduct,18.314,6995.858,1.081,7017.407
GetAllGPSOFsByProduct,18.963,7647.251,0.819,7669.304
GetAllGPSOFsByProduct,23.833,7153.733,1.568,7182.855
GetMyOpenRecsByGrp,2.897,9461.505,0.434,9466.253
GetAllGPSOFsByProduct,19.469,8305.348,0.873,8327.821
GetAllGPSOFsByProduct,18.393,6710.037,1.836,6732.522
GetAllGPSOFsByProduct,21.514,8124.175,0.803,8147.988
GetAllGPSOFsByProduct,17.41,6902.196,1.654,6923.108
GetMyOpenRecs,17.575,10683.963,27.13,10730.688
GetMyOpenRecs,46.338,18060.06,18.946,18127.415
GetMyOpenRecs,64.506,9944.02,29.477,10040.008
GetMyOpenRecs,18.735,8891.933,83.538,8995.941
GetMyOpenRecsByGrp,17.059,10875.537,0.394,10894.726
GetMyOpenRecs,21.471,9880.833,25.095,9929.022
GetMyOpenRecs,18.0,9620.19,26.611,9666.666
GetMyOpenRecsByGrp,18.094,8831.535,0.394,8851.859
GetMyOpenRecs,24.435,10296.411,20.868,10343.321
GetMyOpenRecs,16.609,8527.194,41.374,8586.976
GetMyOpenRecsByGrp,17.213,12360.93,0.451,12380.411
GetMyOpenRecs,18.293,10442.961,21.267,10484.67
GetMyOpenRecs,20.342,9498.558,42.005,9562.592
GetMyOpenRecsByGrp,17.048,10762.93,0.426,10781.941
GetMyOpenRecs,17.419,10988.963,229.103,11238.084
GetAllSOFsByProdAndSrc,38.335,12219.363,2.069,12262.525
GetMyOpenRecs,32.151,10029.916,29.079,10092.947
GetMyOpenRecsByGrp,70.41,11305.727,3.043,11381.159
GetAllIssuesByProduct,17.891,14377.614,0.535,14397.737
GetAllIssuesByProduct,18.743,14864.887,0.498,14885.425
GetAllSOFsByProduct,15.627,10742.688,2.888,10762.725
GetRecsIOwn,17.331,6943.614,3.119,6965.843
GetMyOpenRecsByGrp,17.794,10398.198,1.964,10419.443
GetMyOpenRecsByGrp,18.893,8333.483,4.268,8358.227
GetAllGPSOFsByProduct,19.875,8670.18,1.111,8692.568
GetAllGPSOFsByProduct,19.041,6356.404,1.227,6377.918
GetAllTPsByProduct,3.151,1820.784,0.602,1825.927
GetAllTPsByProduct,3.587,1608.225,0.403,1613.431
GetAllSOFsByProdAndSrc,17.265,11902.143,4.532,11926.048
GetAllRMAsByCustomer,3.704,12080.973,4.359,12090.524
GetAllRMAsByCustomer,3.298,11199.614,1.359,11206.33
GetFAMeetingSOF,18.031,2900.369,36.243,2976.192
GetAllGPSOFsByProduct,18.521,4620.633,0.563,4641.414
GetAllGPSOFsByProduct,16.687,8284.796,0.872,8303.77
GetAllGPSOFsByProduct,16.594,6640.973,1.412,6661.452
GetRecsIOwn,16.053,8304.068,1.859,8324.256
GetRecsIOwn,19.415,5511.646,2.681,5535.804
GetMyOpenRecsByGrp,3.416,10390.048,1.501,10397.196
GetMyOpenRecsByGrp,3.019,10204.037,2.495,10210.919
GetMyOpenRecsByGrp,17.283,10086.514,1.859,10107.118
GetMyOpenRecsByGrp,20.385,9208.568,20.168,9250.839
GetRecsIOwn,18.932,8962.983,1.843,8985.879
GetRecsIOwn,17.526,5999.943,2.053,6021.003
GetRecsIOwn,23.78,8904.255,1.822,8931.359
GetMyOpenRecs,43.416,18096.414,40.418,18182.241
GetAllSOFsByProduct,19.209,11642.657,1.743,11665.099
GetRecsIOwn,18.58,8762.559,1.783,8784.414
GetMyOpenRecs,20.723,10050.798,75.248,10150.777
GetMyOpenRecs,107.884,9393.012,114.552,10098.137
GetAllSOFsByProduct,22.018,12544.525,4.825,12577.05
GetMyOpenRecsByGrp,7.252,11024.855,3.605,11051.657
GetAllSOFsByProdAndSrc,181.787,12645.732,15.554,12861.323
GetMyOpenRecs,28.119,18489.094,51.553,18571.363
GetAllIssuesByProduct,4.66,12493.435,1.204,12528.753
GetRecsIOwn,86.929,9829.541,1.903,9940.592
GetAllGPSOFsByProduct,23.209,9483.515,1.822,9514.738
GetAllGPSOFsByProduct,20.948,6333.088,25.002,6380.845
GetMyOpenRecs,20.608,14146.064,20.799,14195.527
GetMyOpenRecsByGrp,18.333,10113.664,0.479,10134.572
GetMyOpenRecsByGrp,22.426,9703.618,2.225,9730.287
GetMyOpenRecs,23.818,14029.788,17.487,14073.317
GetMyOpenRecs,62.239,18067.007,44.806,18176.531
GetAllSOFsByProduct,24.979,11975.132,1.91,12004.112
GetMyOpenRecs,59.747,17941.907,25.424,18029.246
GetAllCAPAsByCustomer,17.562,4424.944,0.658,4453.411
GetAllCAPAsByCustomer,32.947,9560.422,0.758,9596.051
GetAllSOFsByProduct,3.852,12577.839,1.701,12586.167
GetMyOpenRecsByGrp,63.413,11443.097,5.929,11519.802
GetMyOpenRecsByGrp,109.353,9069.053,52.782,9359.471
GetAllSOFsByProduct,9.096,8441.82,3.039,9105.541
GetRecsIOwn,5.081,5183.068,24.242,5222.962
GetRecsIOwn,5.641,4870.354,1.22,4879.681
GetRecsIOwn,3.373,6963.206,1.245,6969.86
GetRecsIOwn,3.659,7246.08,0.843,7253.034
GetRecsIOwn,3.727,7867.675,8.504,7882.761
GetRecsIOwn,9.734,5773.094,0.776,5785.75
GetAllSOFsByProduct,8.222,9436.452,1.996,9448.623
GetAllSOFsByProduct,4.065,8263.104,2.176,8271.231
GetMyOpenRecsByGrp,51.54,12802.982,3.948,12860.757
GetMyOpenRecsByGrp,119.493,10742.897,34.076,10915.083
GetMyOpenRecsByGrp,196.485,8673.914,43.804,9061.373
GetMyOpenRecs,20.664,11861.596,162.795,12048.58
GetMyOpenRecs,22.341,9857.683,88.517,9970.143
GetMyOpenRecsByGrp,25.168,10140.48,6.977,10174.801
GetMyOpenRecs,3.542,8253.777,32.719,8292.602
GetMyOpenRecs,16.797,10429.926,96.071,10544.524
GetMyOpenRecs,16.519,10148.339,42.258,10208.686
GetMyOpenRecsByGrp,20.52,11221.744,0.463,11244.466
GetMyOpenRecsByGrp,21.129,9282.248,2.279,9307.272
GetMyOpenRecs,17.477,10087.558,21.388,10128.116
GetMyOpenRecs,16.082,8766.758,47.169,8831.543
GetMyOpenRecsByGrp,17.334,10317.227,0.548,10336.736
GetMyOpenRecs,19.086,9770.209,31.128,9822.828
GetMyOpenRecsByGrp,19.271,8904.482,1.757,8927.522
GetMyOpenRecs,22.925,10333.761,22.68,10381.128
GetMyOpenRecs,17.9,10630.274,40.893,10690.611
GetMyOpenRecsByGrp,16.744,10957.317,0.448,10976.067
GetMyOpenRecs,21.85,9386.08,20.895,9430.387
GetMyOpenRecs,18.869,10973.778,24.419,11018.428
GetMyOpenRecs,16.671,9282.893,43.956,9345.258
GetMyOpenRecsByGrp,22.127,11114.636,0.394,11139.504
GetRecsIOwn,18.88,8930.666,0.757,8969.204
GetMyOpenRecs,17.379,5966.81,3.174,5989.107
GetMyOpenRecs,18.81,5965.745,4.603,5990.621
GetMyOpenRecsByGrp,23.216,10669.671,0.496,10694.885
GetRecsIOwn,16.083,7237.784,0.769,7256.666
GetAllSOFsByProduct,15.0,10881.711,1.823,10899.838
GetAllSOFsByProduct,14.535,9668.302,2.063,9687.149
GetAllSOFsByProduct,15.643,9896.333,1.912,9915.087
GetAllIssuesByProduct,15.692,10932.066,0.547,10949.678
GetAllGPSOFsByProduct,2.688,6005.578,1.314,6012.894
GetAllTPsByProduct,3.729,1696.812,0.409,1704.372
GetIssuesClassByProduct,16.888,8354.116,1.114,8375.342
GetAssemblyClassByProduct,2.785,5166.069,0.384,5178.687
GetCauseClassByProduct,2.555,4505.319,0.464,4511.118
GetAllSOFsByProdAndSrc,2.758,10257.449,1.775,10265.714
GetAllRMAsByCustomer,2.485,10120.264,1.937,10128.175
GetAllRMAsByCustomer,3.145,9393.386,1.808,9399.753
GetAllCAPAsByCustomer,2.351,3348.09,0.902,3354.691
GetMyOpenRecsByGrp,17.552,9420.17,0.488,9440.009
GetRecsIOwn,18.052,7606.008,1.349,7627.039
GetMyOpenRecsByGrp,17.462,7943.85,2.435,7965.235
GetMyOpenRecsByGrp,19.109,8860.191,0.452,8881.03
GetRecsIOwn,16.227,6305.513,0.738,6323.91
GetMyOpenRecsByGrp,16.942,10322.926,2.838,10344.27
GetMyOpenRecsByGrp,3.042,11454.481,1.514,11460.559
GetMyOpenRecsByGrp,3.09,10001.368,0.449,10006.174
GetMyOpenRecs,2.594,9314.497,13.72,9332.487
GetMyOpenRecs,2.263,8743.423,12.86,8760.019
GetMyOpenRecsByGrp,2.988,10448.064,0.462,10453.019
GetMyOpenRecs,2.653,8689.937,11.977,8706.396
GetMyOpenRecs,2.9,7927.974,11.94,7945.778
GetAllCAPAsByCustomer,16.367,3131.562,1.045,3150.457
GetAllCAPAsByCustomer,14.937,8346.734,0.542,8363.899
GetRecsIOwn,3.226,6682.871,0.602,6688.265
GetRecsIOwn,3.195,7409.886,0.564,7415.001
GetAllIssuesByProduct,19.552,13230.261,0.699,13251.97
GetAllCAPAsByCustomer,17.487,7738.579,0.558,7758.157
GetAllGPSOFsByProduct,82.091,11956.908,1.238,12041.776
GetAllGPSOFsByProduct,49.456,9536.431,1.905,9589.201
GetMyOpenRecs,16.847,18694.297,22.235,19148.858
GetMyOpenRecs,18.378,9434.966,39.988,9495.312
GetMyOpenRecsByGrp,17.246,12110.72,0.437,12130.318
GetMyOpenRecs,18.623,10439.68,21.281,10482.103
GetMyOpenRecs,16.239,8454.558,41.232,8513.854
GetMyOpenRecsByGrp,18.136,12176.276,0.468,12197.096
GetAllGPSOFsByProduct,85.245,9767.588,0.965,9856.27
GetAllGPSOFsByProduct,16.472,6480.425,1.433,6500.155
GetRecsIOwn,20.471,7644.802,0.862,7667.95
GetRecsIOwn,18.174,7774.648,1.54,7797.022
GetAllGPSOFsByProduct,18.401,8689.39,0.939,8710.063
GetAllGPSOFsByProduct,15.464,7171.315,2.276,7190.497
GetRecsIOwn,18.343,9084.706,0.868,9105.386
GetRecsIOwn,17.925,8488.029,0.921,8508.332
GetMyOpenRecsByGrp,106.515,13062.796,15.92,13229.532
GetMyOpenRecsByGrp,19.27,7819.701,75.666,7916.205
GetRecsIOwn,18.598,8154.605,1.715,8202.932
GetMyOpenRecsByGrp,19.624,9868.429,0.883,9890.907
GetRecsIOwn,22.422,7595.126,0.879,7620.09
GetMyOpenRecsByGrp,20.367,7029.642,3.252,7054.854
GetMyOpenRecsByGrp,18.5,7616.788,3.294,7640.166
GetMyOpenRecsByGrp,105.725,8047.814,8.81,8350.877
GetMyOpenRecsByGrp,22.991,9373.23,11.158,9409.029
GetRecsIOwn,19.641,8044.846,1.881,8069.562
GetMyOpenRecsByGrp,19.675,7764.47,5.141,7790.969
GetMyOpenRecs,21.718,9824.409,96.095,9945.696
GetMyOpenRecs,20.309,9916.241,85.102,10023.16
GetMyOpenRecsByGrp,18.155,8997.094,0.424,9017.222
GetMyOpenRecsByGrp,18.472,8123.774,2.627,8146.517
GetMyOpenRecsByGrp,20.918,9611.987,5.308,9639.813
GetAllGPSOFsByProduct,20.353,6836.635,2.273,6863.137
GetAllGPSOFsByProduct,19.062,5920.538,2.074,5943.021
GetAllTPsByProduct,4.511,1815.948,0.675,1824.201
GetAllTPsByProduct,3.102,1431.169,0.926,1436.454
GetAllSOFsByProdAndSrc,18.465,12288.9,7.577,12318.538
GetAllRMAsByCustomer,3.638,11644.096,5.403,11656.863
GetAllSOFsByProduct,18.207,12489.718,2.193,12513.644
GetAllRMAsByCustomer,4.624,9031.756,1.559,9040.499
GetFAMeetingSOF,18.34,2411.774,43.939,2503.205
GetAllGPSOFsByProduct,20.524,4255.586,0.607,4278.296
GetAllGPSOFsByProduct,22.039,6867.359,1.409,6892.649
GetAllGPSOFsByProduct,22.407,6446.92,1.325,6472.09
GetRecsIOwn,18.084,5821.195,0.766,5841.954
GetRecsIOwn,17.029,7378.327,0.783,7397.58
GetAllSOFsByProduct,63.937,13127.821,2.713,13262.709
GetAllSOFsByProduct,18.918,12695.968,27.486,12744.318
GetRecsIOwn,30.18,9038.751,1.369,9072.097
GetRecsIOwn,112.1,8740.935,5.191,8998.34
GetMyOpenRecsByGrp,24.659,12318.675,29.865,12376.871
GetMyOpenRecsByGrp,25.836,9607.573,13.496,9648.832
GetMyOpenRecs,20.946,11120.933,178.002,11323.675
GetMyOpenRecs,19.351,9187.563,116.59,9325.105
GetMyOpenRecsByGrp,18.556,16900.627,3.206,16924.094
GetAllIssuesByProduct,18.331,14078.204,1.681,14101.485
GetAllIssuesByProduct,16.422,13352.676,0.748,13371.164
GetAllSOFsByProduct,16.752,11073.798,2.629,11096.424
GetRecsIOwn,17.97,8788.49,1.002,8809.063
GetMyOpenRecs,18.035,10650.356,21.163,10692.112
GetMyOpenRecs,20.172,8680.692,175.643,8878.004
GetMyOpenRecsByGrp,17.811,11115.554,3.193,11138.183
GetAllIssuesByProduct,17.62,13442.343,0.63,13462.036
GetAllIssuesByProduct,16.667,14785.81,1.075,14804.854
GetAllSOFsByProduct,18.445,13468.011,13.898,13502.033
GetRecsIOwn,22.54,9196.135,0.95,9221.481
GetMyOpenRecsByGrp,44.974,12887.902,1.684,12936.466
GetMyOpenRecsByGrp,27.124,11004.56,4.892,11038.137
GetAllGPSOFsByProduct,19.572,8126.849,1.673,8151.213
GetAllGPSOFsByProduct,25.491,8045.056,2.097,8073.897
GetAllTPsByProduct,3.943,3160.633,0.592,3168.339
GetAllTPsByProduct,3.101,1892.961,0.966,1898.207
GetAllSOFsByProdAndSrc,22.301,14236.623,5.885,14268.129
GetAllRMAsByCustomer,4.872,12844.427,5.964,12858.737
GetAllRMAsByCustomer,3.435,11871.634,1.996,11878.568
GetFAMeetingSOF,16.252,3000.794,45.208,3081.74
GetAllGPSOFsByProduct,19.36,4816.122,0.644,4837.884
GetAllGPSOFsByProduct,17.461,7899.191,0.884,7919.438
GetAllGPSOFsByProduct,16.09,7855.576,1.404,7874.475
GetRecsIOwn,15.26,8368.427,0.757,8385.977
GetRecsIOwn,17.998,7822.913,0.819,7843.631
GetMyOpenRecs,102.58,20646.518,29.959,21214.03
GetMyOpenRecsByGrp,18.778,12674.209,1.482,12696.683
GetMyOpenRecsByGrp,17.367,9626.928,5.172,9651.983
GetAllGPSOFsByProduct,22.181,7056.313,1.748,7082.391
GetAllGPSOFsByProduct,18.285,6295.885,1.965,6317.685
GetAllSOFsByProdAndSrc,18.546,12133.886,1.492,12155.795
GetAllTPsByProduct,3.586,3666.509,1.194,3673.679
GetAllTPsByProduct,2.496,2123.321,0.428,2127.682
GetAllSOFsByProdAndSrc,17.808,14443.734,5.604,14469.1
GetAllRMAsByCustomer,3.721,14128.406,5.822,14140.003
GetAllGPSOFsByProduct,18.019,9802.055,0.879,9822.857
GetAllRMAsByCustomer,3.332,10802.829,1.351,10809.242
GetFAMeetingSOF,17.425,3136.123,30.04,3201.498
GetMyOpenRecs,17.091,10404.655,39.92,10463.246
GetMyOpenRecsByGrp,18.66,6252.056,0.633,6273.597
GetMyOpenRecsByGrp,20.711,11058.443,1.086,11081.735
GetAllGPSOFsByProduct,17.431,4421.616,0.639,4441.051
GetAllGPSOFsByProduct,18.969,4124.679,1.038,4145.986
GetAllTPsByProduct,2.552,1924.332,0.632,1928.785
GetAllTPsByProduct,2.679,1770.248,0.502,1774.647
GetAllSOFsByProdAndSrc,14.69,12807.108,1.251,12824.483
